"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"157";""" you remember how i taught you about when black people had to fight for what they believed in ? "" she recalled saying .";"discrimination against the distribution of the population , when it comes to the fact that the roma population had to contend with its rights , reminds itself of the question .";"2.852547"
"158";"17 - year - old swimmer in canada comes very close to estonian record";"the 17 - year swooper was very close to estonia ' s regime in canada .";"17.395797"
"159";"the crowd went wild during garrix ’ s performance – they sang , rocked , danced with wild abandon .";"the people were truly in the row at the time of the tide - the song , the song , the woefulness of the population .";"2.042946"
"160";"the test results for the samples collected showed that the seeds did not contain foreign genes and as a result of the study it was concluded that the rape , maize and soybean varieties ’ seeds did not contain gmos .";"the results of the analysis carried out by the compatibility findings showed that the emergence of aliens did not contain and that the study resulted in an increase in the shortages in estonia , maize and the emergence of soya .";"10.135585"
"161";"but he made a couple nice moves that i ’ ve seen before in practices ,” added the coach .";"however , he made some of the finest rows that i have seen in the past in the past in the formations .";"5.538696"
"162";"maybe these campaign officials know something the rest of us don ' t - that trump ' s tweets would have been even more inflammatory if not for their interventions .";"perhaps those campaigners know something that the rest of us do not know that there would have been even more sympathies without any further sympathies .";"21.582216"
"163";"it ’ s such a cool experience , you can shine on stage in an incredibly beautiful dress !";"this is the case in the face of the experience , the emergence of row in the row .";"4.480836"
"164";"in the near future , a portrait of legendary queen singer freddie mercury will adorn one plane .";"however , in the wake of the destruction , one of the carciers is beginning to pick up the yard yard .";"4.546309"
"165";"i even saw niceness ,” says laine , from pärnu .";"even from the left , i saw the emergence of a slone laine .";"4.619215"
"166";""" we need to do everything over the next few months to normalize this situation .";"we are placing on the ground in the next few months everything possible to normalise the situation .";"17.694975"
"167";"your partner isn ’ t taking a defensive position any longer .";"the emergence is no longer at a defensive position .";"14.530346"
